Variant,Score,ScoreDiff,Probability,Generation
C,1.25,-0.1,0.0422072504131,37807
C,1.25,-0.25,0.00656082462135,37808
C,1.25,-0.25,0.00656082462135,37809
C,1.25,-0.1,0.0422072504131,37810
C,1.25,-0.25,0.00656082462135,37811
C,1.25,-0.25,0.00656082462135,37812
C,1.25,-0.25,0.00656082462135,37813
C,1.25,-0.25,0.00656082462135,37814
B,1.15,0.0,0.0422072504131,37815
B,1.15,-0.15,0.0209871613723,37816
B,1.15,-0.15,0.0209871613723,37817
B,1.15,-0.15,0.0209871613723,37818
B,1.15,0.1,0.18932421675,37819
B,1.15,0.1,0.18932421675,37820
B,1.15,0.1,0.18932421675,37821
B,1.15,-0.15,0.0209871613723,37822
B,1.15,0.1,0.18932421675,37823
B,1.15,-0.15,0.0209871613723,37824
B,1.15,0.1,0.18932421675,37825
B,1.15,-0.15,0.0209871613723,37826
B,1.15,0.1,0.18932421675,37827
B,1.15,-0.15,0.0209871613723,37828
B,1.15,0.1,0.18932421675,37829
B,1.15,-0.15,0.0209871613723,37830
B,1.15,0.1,0.18932421675,37831
B,1.15,-0.15,0.0209871613723,37832
B,1.15,0.1,0.18932421675,37833
C,1.25,0.0,0.18932421675,37834
C,1.25,-0.1,0.0422072504131,37835
C,1.25,-0.25,0.00656082462135,37836
C,1.25,-0.1,0.0422072504131,37837
C,1.25,-0.1,0.0422072504131,37838
C,1.25,-0.25,0.00656082462135,37839
C,1.25,-0.25,0.00656082462135,37840
C,1.25,-0.25,0.00656082462135,37841
C,1.25,-0.1,0.0422072504131,37842
C,1.25,-0.1,0.0422072504131,37843
C,1.25,-0.25,0.00656082462135,37844
C,1.25,-0.1,0.0422072504131,37845
C,1.25,-0.25,0.00656082462135,37846
C,1.25,-0.1,0.0422072504131,37847
C,1.25,-0.1,0.0422072504131,37848
C,1.25,-0.25,0.00656082462135,37849
C,1.25,-0.25,0.00656082462135,37850
C,1.25,-0.1,0.0422072504131,37851
C,1.25,-0.25,0.00656082462135,37852
C,1.25,-0.1,0.0422072504131,37853
C,1.25,-0.25,0.00656082462135,37854
C,1.25,-0.1,0.0422072504131,37855
C,1.25,-0.25,0.00656082462135,37856
C,1.25,-0.1,0.0422072504131,37857
C,1.25,-0.25,0.00656082462135,37858
C,1.25,-0.1,0.0422072504131,37859
C,1.25,-0.1,0.0422072504131,37860
C,1.25,-0.25,0.00656082462135,37861
C,1.25,-0.1,0.0422072504131,37862
C,1.25,-0.25,0.00656082462135,37863
C,1.25,-0.25,0.00656082462135,37864
C,1.25,-0.25,0.00656082462135,37865
C,1.25,-0.1,0.0422072504131,37866
C,1.25,-0.25,0.00656082462135,37867
C,1.25,-0.25,0.00656082462135,37868
C,1.25,-0.25,0.00656082462135,37869
C,1.25,-0.1,0.0422072504131,37870
C,1.25,-0.25,0.00656082462135,37871
C,1.25,-0.25,0.00656082462135,37872
C,1.25,-0.25,0.00656082462135,37873
C,1.25,-0.25,0.00656082462135,37874
C,1.25,-0.25,0.00656082462135,37875
C,1.25,-0.1,0.0422072504131,37876
C,1.25,-0.1,0.0422072504131,37877
C,1.25,-0.1,0.0422072504131,37878
C,1.25,-0.1,0.0422072504131,37879
C,1.25,-0.25,0.00656082462135,37880
C,1.25,-0.1,0.0422072504131,37881
C,1.25,-0.1,0.0422072504131,37882
C,1.25,-0.25,0.00656082462135,37883
C,1.25,-0.25,0.00656082462135,37884
C,1.25,-0.25,0.00656082462135,37885
C,1.25,-0.25,0.00656082462135,37886
C,1.25,-0.1,0.0422072504131,37887
B,1.15,0.0,0.0422072504131,37888
B,1.15,0.1,0.18932421675,37889
B,1.15,-0.15,0.0209871613723,37890
B,1.15,0.1,0.18932421675,37891
B,1.15,0.1,0.18932421675,37892
B,1.15,-0.15,0.0209871613723,37893
B,1.15,-0.15,0.0209871613723,37894
B,1.15,0.1,0.18932421675,37895
B,1.15,-0.15,0.0209871613723,37896
B,1.15,0.1,0.18932421675,37897
B,1.15,-0.15,0.0209871613723,37898
B,1.15,0.1,0.18932421675,37899
B,1.15,-0.15,0.0209871613723,37900
B,1.15,-0.15,0.0209871613723,37901
B,1.15,-0.15,0.0209871613723,37902
B,1.15,-0.15,0.0209871613723,37903
B,1.15,-0.15,0.0209871613723,37904
B,1.15,-0.15,0.0209871613723,37905
B,1.15,0.1,0.18932421675,37906
B,1.15,0.1,0.18932421675,37907
B,1.15,-0.15,0.0209871613723,37908
B,1.15,0.1,0.18932421675,37909
B,1.15,-0.15,0.0209871613723,37910
B,1.15,0.1,0.18932421675,37911
B,1.15,0.1,0.18932421675,37912
B,1.15,-0.15,0.0209871613723,37913
B,1.15,-0.15,0.0209871613723,37914
B,1.15,0.1,0.18932421675,37915
B,1.15,-0.15,0.0209871613723,37916
B,1.15,-0.15,0.0209871613723,37917
B,1.15,-0.15,0.0209871613723,37918
B,1.15,0.1,0.18932421675,37919
B,1.15,0.1,0.18932421675,37920
B,1.15,0.1,0.18932421675,37921
B,1.15,0.1,0.18932421675,37922
B,1.15,0.1,0.18932421675,37923
C,1.25,0.0,0.18932421675,37924
C,1.25,-0.25,0.00656082462135,37925
C,1.25,-0.1,0.0422072504131,37926
C,1.25,-0.25,0.00656082462135,37927
C,1.25,-0.1,0.0422072504131,37928
C,1.25,-0.1,0.0422072504131,37929
C,1.25,-0.25,0.00656082462135,37930
C,1.25,-0.25,0.00656082462135,37931
C,1.25,-0.25,0.00656082462135,37932
C,1.25,-0.1,0.0422072504131,37933
C,1.25,-0.25,0.00656082462135,37934
C,1.25,-0.25,0.00656082462135,37935
C,1.25,-0.1,0.0422072504131,37936
C,1.25,-0.25,0.00656082462135,37937
C,1.25,-0.1,0.0422072504131,37938
C,1.25,-0.25,0.00656082462135,37939
B,1.15,0.0,0.0422072504131,37940
B,1.15,0.1,0.18932421675,37941
B,1.15,0.1,0.18932421675,37942
B,1.15,-0.15,0.0209871613723,37943
B,1.15,0.1,0.18932421675,37944
B,1.15,0.1,0.18932421675,37945
B,1.15,-0.15,0.0209871613723,37946
C,1.25,0.0,0.18932421675,37947
C,1.25,-0.25,0.00656082462135,37948
C,1.25,-0.1,0.0422072504131,37949
C,1.25,-0.1,0.0422072504131,37950
C,1.25,-0.25,0.00656082462135,37951
B,1.15,0.0,0.0422072504131,37952
B,1.15,-0.15,0.0209871613723,37953
B,1.15,-0.15,0.0209871613723,37954
B,1.15,-0.15,0.0209871613723,37955
B,1.15,0.1,0.18932421675,37956
B,1.15,-0.15,0.0209871613723,37957
